dataset, k, time, layersize
anti_2.txt, 1, 37, 1
anti_2.txt, 2, 20, 2
anti_2.txt, 4, 33, 4
anti_2.txt, 8, 80, 8
anti_2.txt, 16, 207, 16
anti_2.txt, 32, 797, 32
anti_4.txt, 1, 1073, 1
anti_4.txt, 2, 1332, 2
anti_4.txt, 4, 1294, 3
anti_4.txt, 8, 1302, 3
anti_4.txt, 16, 1420, 3
anti_4.txt, 32, 1139, 3
anti_6.txt, 1, 804, 1
anti_6.txt, 2, 928, 2
anti_6.txt, 4, 918, 2
anti_6.txt, 8, 918, 2
anti_6.txt, 16, 915, 2
anti_6.txt, 32, 906, 2
anti_8.txt, 1, 783, 1
anti_8.txt, 2, 1671, 2
anti_8.txt, 4, 1699, 4
anti_8.txt, 8, 1759, 4
anti_8.txt, 16, 1694, 4
anti_8.txt, 32, 1740, 4
corr_2.txt, 1, 4, 1
corr_2.txt, 2, 2, 2
corr_2.txt, 4, 1, 4
corr_2.txt, 8, 2, 8
corr_2.txt, 16, 2, 16
corr_2.txt, 32, 4, 32
corr_4.txt, 1, 8, 1
corr_4.txt, 2, 3, 2
corr_4.txt, 4, 6, 4
corr_4.txt, 8, 41, 8
corr_4.txt, 16, 289, 16
corr_4.txt, 32, 1869, 32
corr_6.txt, 1, 12, 1
corr_6.txt, 2, 43, 2
corr_6.txt, 4, 328, 4
corr_6.txt, 8, 1436, 8
corr_6.txt, 16, 1823, 13
corr_6.txt, 32, 2484, 13
corr_8.txt, 1, 72, 1
corr_8.txt, 2, 434, 2
corr_8.txt, 4, 1298, 4
corr_8.txt, 8, 1616, 7
corr_8.txt, 16, 1590, 7
corr_8.txt, 32, 1608, 7
inde_2.txt, 1, 4, 1
inde_2.txt, 2, 0, 2
inde_2.txt, 4, 1, 4
inde_2.txt, 8, 2, 8
inde_2.txt, 16, 3, 16
inde_2.txt, 32, 21, 32
inde_4.txt, 1, 8, 1
inde_4.txt, 2, 11, 2
inde_4.txt, 4, 53, 4
inde_4.txt, 8, 357, 8
inde_4.txt, 16, 1657, 16
inde_4.txt, 32, 1811, 22
inde_6.txt, 1, 27, 1
inde_6.txt, 2, 156, 2
inde_6.txt, 4, 779, 4
inde_6.txt, 8, 1556, 8
inde_6.txt, 16, 1589, 10
inde_6.txt, 32, 2572, 10
inde_8.txt, 1, 170, 1
inde_8.txt, 2, 862, 2
inde_8.txt, 4, 1419, 4
inde_8.txt, 8, 1495, 6
inde_8.txt, 16, 1490, 6
inde_8.txt, 32, 1482, 6
nba_5.txt, 1, 0, 1
nba_5.txt, 2, 1, 2
nba_5.txt, 4, 3, 4
nba_5.txt, 8, 22, 8
nba_5.txt, 16, 32, 14
nba_5.txt, 32, 30, 14
test_2.txt, 1, 0, 1
test_2.txt, 2, 0, 2
test_2.txt, 4, 0, 4
test_2.txt, 8, 0, 4
test_2.txt, 16, 0, 4
test_2.txt, 32, 0, 4
