dataset,k,group,uwise,pwise,uwise+,baseline
nba_5.txt,2,1110,19,103,5,469
nba_5.txt,3,17630,152,2697,59,55048
nba_5.txt,4,212675,1256,40839,284,N/A
nba_5.txt,5,2086155,23768,N/A,2779,N/A
corr_2.txt,2,2,1,17,0,5
corr_4.txt,2,625,12,44,5,152
corr_6.txt,2,81639,173,9300,148,N/A
corr_8.txt,2,1155102,1359,N/A,741,N/A
corr_2.txt,3,4,1,40,0,6
corr_4.txt,3,7623,87,1114,31,9827
corr_6.txt,3,11003536,26299,N/A,13849,N/A
corr_8.txt,3,N/A,N/A,N/A,N/A,N/A
inde_2.txt,2,47,2,27,1,13
inde_4.txt,2,14814,56,1240,28,N/A
inde_6.txt,2,393417,369,N/A,349,N/A
inde_8.txt,2,3902795,2861,N/A,2750,N/A
anti_2.txt,2,9717,44,589,30,N/A
test_2.txt,2,6,0,13,0,5
test_2.txt,3,9,2,15,1,7
test_2.txt,4,11,1,15,0,5


